intent_id,cluster,subcluster,canonical_question,buyer_stage,frequency_band,purchase_proximity,research_priority,yaai_business_priority,target_url,commercial_target,wordstat_omsk_max,wordstat_oblast_max,wordstat_omsk_phrase_count,wordstat_oblast_phrase_count,wordstat_omsk_strongest_phrase,wordstat_oblast_strongest_phrase,wordstat_relative_band_omsk,wordstat_relative_band_oblast,wordstat_signal_status,wordstat_checked_at,gsc_impressions_28d,gsc_clicks_28d,yandex_impressions_28d,first_party_evidence_required,required_media,cta,publication_status
B01,bani,early-need,"Что поставить на участке для отдыха, если не хочется полноценной стройки?",awareness,medium,2,unranked,P1,/guides/bani/banya-bez-dolgoy-stroyki/,/mobilnaya-banya-omsk/,948,1521,259,303,баня под ключ,баня под ключ,high,high,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,process photos; scheme,,research
B02,bani,format-choice,Готовая баня или строить баню на участке?,comparison,high,4,P1-shortlist,P1,/guides/bani/gotovaya-ili-stroit/,/mobilnaya-banya-omsk/,45,47,28,25,строительство бани под ключ,строительство бани под ключ,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,comparison table; process scheme; workshop/install video,"Проверить, подходит ли вам готовая баня",published
B03,bani,format-choice,Мобильная/Квадро или каркасная баня — что выбрать?,comparison,high,4,P1-shortlist,P1,/guides/bani/kvadro-ili-karkasnaya/,/mobilnaya-banya-omsk/,637,900,172,172,каркасная баня,каркасная баня,high,high,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,plans; interior photos; walkthrough video,Сравнить стоимость двух вариантов,published
B04,bani,size,"Как выбрать размер: Квадро 2×2, 3×2 или 4×2?",model-selection,high,5,P1-shortlist,P1,/guides/bani/kak-vybrat-razmer-2x2-3x2-4x2/,/mobilnaya-banya-omsk/,2,3,7,9,баня 4х2,баня 4х2,low,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,comparison table; plans; person-inside photos; 60-90s video,Подобрать модель по участку,published
B05,bani,capacity,"Какая баня нужна для 2, 3–4 или большей компании?",model-selection,medium,4,unranked,P2,/guides/bani/kak-vybrat-razmer-2x2-3x2-4x2/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,actual internal measurements; people-on-benches photos,,published
B06,bani,layout,Нужна ли отдельная комната отдыха / мойка?,model-selection,medium,4,unranked,P2,/guides/bani/kakuyu-planirovku-vybrat/,/mobilnaya-banya-omsk/,5,6,4,4,каркасная моечная баня,каркасная моечная баня,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,plans; room photos,,research
B07,bani,size,Баня 2×2 — это слишком маленькая или достаточно?,model-selection,medium,4,unranked,P2,/guides/bani/kak-vybrat-razmer-2x2-3x2-4x2/,/banya-kvadro-2x2-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,plan; measurements; person-inside video,,published
B08,bani,package,Что входит в готовую баню «под ключ»?,offer-check,high,5,unranked,P1,/guides/bani/chto-vhodit-v-tsenu/,/mobilnaya-banya-omsk/,76,143,15,18,готовая баня под ключ,готовая баня под ключ,medium,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,package table; product-detail photos,Рассчитать эту комплектацию,published
B09,bani,price,Сколько готовая баня стоит в итоге и за что могут появиться доплаты?,budget,high,5,P1-shortlist,P1,/guides/bani/skolko-stoit-gotovaya-banya/,/mobilnaya-banya-omsk/,2,11,1,5,стоимость баня под ключ цена,стоимость баня под ключ цена,low,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,real quote examples; options table,Рассчитать стоимость,research
B10,bani,delivery,Сколько стоит доставка бани по Омску и Омской области?,commercial-calc,medium,5,unranked,P1,/guides/bani/dostavka-po-omskoy-oblasti/,/mobilnaya-banya-omsk/,130,178,23,30,баня с доставкой,баня с доставкой,high,medium,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,verified delivery-zone table,,research
B11,bani,installation,Как вообще привозят и ставят готовую баню?,risk-removal,high,5,unranked,P1,/guides/bani/podgotovka-uchastka-dostavka-manipulyator/,/mobilnaya-banya-omsk/,4,4,5,4,установка бани на участке,установка бани на участке,low,low,matched_top_queries,2026-09-15T13:42:09.356Z,,,,yes,loading-to-install photo series; install video,,published
B12,bani,logistics,"Что делать, если манипулятор не может заехать на участок?",risk-removal,medium,5,P1-shortlist,P1,/guides/bani/podgotovka-uchastka-dostavka-manipulyator/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,real no-access case; site scheme; video,Пришлите 3 фото участка — проверим подъезд,published
B13,bani,logistics,Какая ширина проезда и свободное место нужны для установки?,site-check,medium,5,P1-shortlist,P2,/guides/bani/podgotovka-uchastka-dostavka-manipulyator/,/mobilnaya-banya-omsk/,0,0,0,0,,,none,none,no_matched_top_query_current_batch,2026-09-15T13:42:09.356Z,,,,yes,top-view scheme; gate/wire/tree photos; unloading video,Пришлите 3 фото участка — проверим подъезд,published
